거래금액,전용면적,년,면적당금
"31,000",30.03,202101,1032.3
"61,000",33.48,202101,1821.98
"198,000",59.73,202101,3314.92
"193,800",59.4,202101,3262.63
"91,000",66.04,202101,1377.95
"80,000",84.95,202101,941.73
"90,000",46.9,202101,1918.98
"255,000",84.9097,202101,3003.19
"85,800",28.246,202101,3037.6
"99,000",80.2,202101,1234.41
"198,000",59.53,202101,3326.05
"24,000",25.92,202101,925.93
"80,000",59.505,202101,1344.42
"291,000",114.019,202101,2552.21
"38,500",39.13,202101,983.9
"77,500",74.61,202101,1038.73
"77,500",74.61,202101,1038.73
"66,000",71.66,202101,921.02
"172,000",59.97,202101,2868.1
"200,000",59.4,202101,3367
"34,800",30.03,202101,1158.84
"43,500",43.99,202101,988.86
"117,000",83.12,202101,1407.6
"110,000",80.2,202101,1371.57
"67,700",52.31,202101,1294.21
"205,000",59.8848,202101,3423.24
"208,000",59.78,202101,3479.42
"201,000",59.606,202101,3372.14
"19,000",15.25,202101,1245.9
"149,000",110.57,202101,1347.56
"198,000",59.4,202101,3333.33
"258,000",92.6232,202101,2785.48
"323,000",144.011,202101,2242.88
"208,000",59.606,202101,3489.58
"198,000",59.4,202101,3333.33
"264,900",84.991,202101,3116.8
"178,000",53.06,202101,3354.69
"215,000",95.4,202101,2253.67
"181,000",78.93,202101,2293.17
"157,000",60,202101,2616.67
"150,000",49.86,202101,3008.42
"220,000",104.43,202101,2106.67
"220,000",104.43,202101,2106.67
"268,000",123.28,202101,2173.91
"200,000",59.888,202101,3339.57
"200,000",60.76,202101,3291.64
"298,000",166.48,202101,1790
"265,000",131.83,202101,2010.16
"124,500",39.53,202101,3149.51
"127,000",39.53,202101,3212.75
"125,000",39.53,202101,3162.16
"241,000",84.9,202101,2838.63
"200,000",79.61,202101,2512.25
"200,000",79.61,202101,2512.25
"220,000",104.43,202101,2106.67
"139,000",49.86,202101,2787.81
"239,500",134.3,202101,1783.32
"150,000",51.12,202101,2934.27
"267,000",84.943,202101,3143.28
"180,000",53.46,202101,3367
"243,000",163.85,202101,1483.06
"153,000",49.86,202101,3068.59
"160,000",60,202101,2666.67
"224,000",84.81,202101,2641.2
"145,000",49.86,202101,2908.14
"317,000",177.19,202101,1789.04
"245,000",74.66,202101,3281.54
"277,000",84.94,202101,3261.13
"128,000",39.53,202101,3238.05
"108,000",33.18,202101,3254.97
"111,000",33.18,202101,3345.39
"200,000",134.3,202101,1489.2
"111,000",33.18,202101,3345.39
"192,000",82.2,202101,2335.77
"274,000",84.6348,202101,3237.44
"145,000",104.43,202101,1388.49
"133,000",39.53,202101,3364.53
"108,500",33.18,202101,3270.04
"235,000",73.26,202101,3207.75
"235,000",73.26,202101,3207.75
"270,000",170.32,202101,1585.25
"310,000",165.08,202101,1877.88
"109,000",33.18,202101,3285.11
"23,000",13.425,202101,1713.22
"186,000",107.22,202101,1734.75
"235,000",110.18,202101,2132.87
"112,500",59.4,202101,1893.94
"33,500",27.7131,202101,1208.81
"278,000",145.69,202101,1908.16
"179,500",49.618,202101,3617.64
"315,000",211.72,202101,1487.81
"195,000",81.84,202101,2382.7
"229,000",109.31,202101,2094.96
"23,100",13.425,202101,1720.67
"320,000",108.06,202101,2961.32
"36,000",36.35,202101,990.37
"140,000",82.02,202101,1706.9
"85,000",106.89,202101,795.21
"222,500",84.503,202101,2633.04
"196,000",109.51,202101,1789.79
"34,000",36.35,202101,935.35
"34,000",36.35,202101,935.35
"500,000",145.046,202101,3447.18
"235,000",84.236,202101,2789.78
"276,000",204.1,202101,1352.28
"163,000",59.67,202101,2731.69
"33,000",36.35,202101,907.84
"535,000",195.388,202101,2738.14
"35,000",36.35,202101,962.86
"88,770",58.776,202101,1510.31
"155,000",84.97,202101,1824.17
"255,000",84.679,202101,3011.37
"165,000",84.97,202101,1941.86
"242,000",84.236,202101,2872.88
"255,000",84.465,202101,3019
"300,000",219.48,202101,1366.87
"217,000",91.77,202101,2364.61
"33,000",36.35,202101,907.84
"230,000",104.31,202101,2204.97
"285,000",84.81,202101,3360.45
"285,000",84.81,202101,3360.45
"285,000",84.81,202101,3360.45
"381,000",161.36,202101,2361.18
"243,000",150.03,202101,1619.68
"77,000",59.83,202101,1286.98
"187,000",59.88,202101,3122.91
"33,500",35.236,202101,950.73
"214,500",76.79,202101,2793.33
"232,000",84.43,202101,2747.84
"164,000",59.82,202101,2741.56
"237,000",84.43,202101,2807.06
"43,700",35.51,202101,1230.64
"215,000",84.48,202101,2544.98
"242,000",84.43,202101,2866.28
"31,800",29.63,202101,1073.24
"217,000",76.79,202101,2825.89
"270,000",97.35,202101,2773.5
"249,500",84.96,202101,2936.68
"330,000",126.33,202101,2612.21
"225,000",168.04,202101,1338.97
"210,000",107.75,202101,1948.96
"80,500",82.67,202101,973.75
"84,000",35.73,202101,2350.97
"24,000",16.2,202101,1481.48
"176,000",84.92,202101,2072.54
"182,000",119.67,202101,1520.85
"91,000",85,202101,1070.59
"167,000",84.92,202101,1966.56
"90,000",77.7,202101,1158.3
"164,000",59.75,202101,2744.77
"116,000",74.758,202101,1551.67
"36,000",36.29,202101,992.01
"140,000",97.18,202101,1440.63
"160,000",84.721,202101,1888.55
"107,000",59.91,202101,1786.01
"123,500",135.3,202101,912.79
"119,000",85.12,202101,1398.03
"355,000",208.35,202101,1703.86
"35,300",36.29,202101,972.72
"280,000",108.15,202101,2589
"280,000",108.15,202101,2589
"278,000",107.64,202101,2582.68
"303,000",111.38,202101,2720.42
"527,000",198.41,202101,2656.12
"289,000",84.98,202101,3400.8
"250,000",78.05,202101,3203.07
"289,000",84.98,202101,3400.8
"240,000",74.4,202101,3225.81
"260,000",82.5,202101,3151.52
"225,000",82.5,202101,2727.27
"410,000",162.94,202101,2516.26
"391,000",144.2,202101,2711.51
"267,500",110.38,202101,2423.45
"500,000",183.41,202101,2726.13
"500,000",183.41,202101,2726.13
"410,000",144.2,202101,2843.27
"270,000",82.5,202101,3272.73
"550,000",196.84,202101,2794.15
"259,000",78.05,202101,3318.39
"370,000",163.67,202101,2260.65
"539,000",196.84,202101,2738.26
"255,000",106.22,202101,2400.68
"270,000",82.5,202101,3272.73
"575,000",182.95,202101,3142.94
"305,000",108.88,202101,2801.25
"346,000",140.9,202101,2455.64
"183,000",49.98,202101,3661.46
"527,000",208.65,202101,2525.76
"310,000",108.47,202101,2857.93
"397,000",117.91,202101,3366.97
"245,000",78.05,202101,3139.01
"430,000",180.56,202101,2381.48
"235,000",63.87,202101,3679.35
"157,000",84.83,202101,1850.76
"160,000",84.84,202101,1885.9
"140,000",84.95,202101,1648.03
"135,000",59.89,202101,2254.13
"140,000",59.86,202101,2338.79
"140,000",59.96,202101,2334.89
"95,950",84.83,202101,1131.09
"72,650",59.96,202101,1211.64
"74,400",59.96,202101,1240.83
"85,150",74.97,202101,1135.79
"98,750",84.92,202101,1162.86
