거래금액,전용면적,년,면적당금
"57,800",114.85,201901,503.27
"49,500",114.68,201901,431.64
"38,300",84.24,201901,454.65
"76,000",84.89,201901,895.28
"42,400",59.98,201901,706.9
"55,800",84.705,201901,658.76
"59,000",114.88,201901,513.58
"55,500",59.98,201901,925.31
"35,400",68.675,201901,515.47
"68,000",84.29,201901,806.74
"51,000",84.9898,201901,600.07
"40,500",59.98,201901,675.23
"59,000",84.873,201901,695.16
"36,000",68.675,201901,524.21
"63,000",59.96,201901,1050.7
"56,500",114.88,201901,491.82
"42,500",59.98,201901,708.57
"38,000",84.67,201901,448.8
"27,500",59.94,201901,458.79
"45,500",84.93,201901,535.74
"39,000",84.6,201901,460.99
"39,000",126.67,201901,307.89
"38,000",84.99,201901,447.11
"16,300",23.4,201901,696.58
"53,000",122.58,201901,432.37
"12,400",58.51,201901,211.93
"25,500",73.23,201901,348.22
"38,000",84.51,201901,449.65
"45,500",136.75,201901,332.72
"52,000",59.54,201902,873.36
"15,200",18.6479,201902,815.11
"42,000",59.98,201902,700.23
"71,000",84.15,201902,843.73
"60,000",84.97,201902,706.13
"55,000",59.54,201902,923.75
"65,000",84.965,201902,765.02
"26,000",37.4389,201902,694.46
"41,500",59.98,201902,691.9
"56,800",114.85,201902,494.56
"45,800",59.98,201902,763.59
"15,000",18.6479,201902,804.38
"35,600",60,201902,593.33
"58,000",114.85,201902,505.01
"81,000",104.53,201902,774.9
"40,500",59.98,201902,675.23
"15,250",18.6479,201902,817.79
"66,000",84.15,201902,784.31
"51,500",81.9853,201902,628.16
"54,000",59.6,201902,906.04
"46,000",84.91,201902,541.75
"35,000",59.77,201902,585.58
"37,800",84.6,201902,446.81
"30,300",59.82,201902,506.52
"31,100",59.82,201902,519.89
"43,000",84.88,201902,506.6
"36,000",84.93,201902,423.88
"43,900",84.96,201902,516.71
"29,000",59.96,201902,483.66
"35,000",68.6,201902,510.2
"37,000",84.99,201902,435.35
"13,900",58.51,201902,237.57
"25,000",81.61,201902,306.34
