거래금액,전용면적,년,면적당금
"39,000",84.873,201701,459.51
"46,000",84.97,201701,541.37
"30,000",84.44,201701,355.28
"41,800",84.705,201701,493.48
"42,300",84.9134,201701,498.15
"34,800",59.98,201701,580.19
"45,800",84.99,201701,538.89
"34,800",59.964,201701,580.35
"44,500",114.85,201701,387.46
"48,700",114.88,201701,423.92
"41,500",84.873,201701,488.97
"29,000",65.59,201701,442.14
"40,700",59.96,201701,678.79
"44,000",114.922,201701,382.87
"34,900",59.98,201701,581.86
"49,800",84.95,201701,586.23
"37,000",59.6,201701,620.81
"47,500",114.88,201701,413.47
"38,500",84.552,201701,455.34
"44,500",114.85,201701,387.46
"39,000",59.6,201701,654.36
"40,000",114.68,201701,348.8
"23,500",56.1,201701,418.89
"31,200",59.98,201701,520.17
"45,000",114.85,201701,391.82
"34,000",59.98,201701,566.86
"33,000",59.98,201701,550.18
"33,300",59.98,201701,555.19
"38,500",120.95,201701,318.31
"43,200",59.54,201701,725.56
"40,000",84.76,201701,471.92
"46,000",114.85,201701,400.52
"33,500",59.98,201701,558.52
"37,250",59.9,201701,621.87
"33,400",59.98,201701,556.85
"39,000",59.6,201701,654.36
"34,000",59.98,201701,566.86
"34,000",84.92,201701,400.38
"27,000",112.29,201701,240.45
"29,300",59.43,201701,493.02
"30,300",84.9,201701,356.89
"33,500",84.7848,201701,395.12
"22,500",41.3,201701,544.79
"27,000",49.94,201701,540.65
"44,500",117.9794,201701,377.18
"34,500",81.12,201701,425.3
"26,700",49.94,201701,534.64
"32,000",84.6,201701,378.25
"32,500",84.6,201701,384.16
"15,500",54.17,201701,286.14
"29,250",63.78,201701,458.61
"40,300",122.58,201701,328.76
"41,500",84.993,201701,488.28
"25,300",59.79,201701,423.15
"33,900",84.99,201701,398.87
"39,500",122.58,201701,322.24
"28,700",63.78,201701,449.98
"40,000",84.93,201701,470.98
"38,000",84.92,201702,447.48
"46,300",84.99,201702,544.77
"38,450",84.86,201702,453.1
"44,000",114.85,201702,383.11
"46,900",114.85,201702,408.36
"13,500",46.11,201702,292.78
"28,250",59.67,201702,473.44
"35,500",59.98,201702,591.86
"33,500",59.98,201702,558.52
"34,000",59.98,201702,566.86
"42,500",59.96,201702,708.81
"45,000",114.85,201702,391.82
"58,000",114.88,201702,504.87
"32,000",84.91,201702,376.87
"33,500",59.98,201702,558.52
"36,900",84.86,201702,434.83
"42,000",114.85,201702,365.69
"39,000",84.92,201702,459.26
"44,000",114.85,201702,383.11
"49,000",84.29,201702,581.33
"38,700",59.6,201702,649.33
"39,000",81.9853,201702,475.7
"31,400",60,201702,523.33
"34,350",59.98,201702,572.69
"39,500",59.82,201702,660.31
"60,000",114.98,201702,521.83
"46,950",114.922,201702,408.54
"33,800",59.98,201702,563.52
"33,700",59.98,201702,561.85
"49,400",84.97,201702,581.38
"49,200",84.97,201702,579.03
"56,700",84.867,201702,668.1
"40,500",84.92,201702,476.92
"53,000",114.29,201702,463.73
"38,500",84.89,201702,453.53
"34,500",84.92,201702,406.26
"50,000",84.29,201702,593.19
"40,000",84.71,201702,472.2
"33,500",59.98,201702,558.52
"53,250",84.965,201702,626.73
"41,500",84.9134,201702,488.73
"29,700",78.09,201702,380.33
"36,500",84.89,201702,429.97
"48,000",114.85,201702,417.94
"41,500",84.92,201702,488.7
"41,000",84.76,201702,483.72
"36,500",84.89,201702,429.97
"39,500",84.86,201702,465.47
"35,300",59.98,201702,588.53
"36,000",59.98,201702,600.2
"44,200",114.85,201702,384.85
"51,500",114.29,201702,450.61
"33,500",59.964,201702,558.67
"34,000",59.98,201702,566.86
"25,500",59.4,201702,429.29
"45,300",84.99,201702,533
"69,500",114.475,201702,607.12
"37,000",59.9,201702,617.7
"26,700",59.4,201702,449.49
"42,000",84.58,201702,496.57
"38,000",84.86,201702,447.8
"27,300",74.46,201702,366.64
"36,700",84.89,201702,432.32
"33,000",84.552,201702,390.29
"26,000",65.11,201702,399.32
"36,300",59.758,201702,607.45
"48,200",84.58,201702,569.87
"34,500",59.964,201702,575.35
"47,000",84.99,201702,553.01
"45,500",84.99,201702,535.36
"37,200",59.758,201702,622.51
"50,500",84.93,201702,594.61
"41,400",84.873,201702,487.79
"36,000",84.7848,201702,424.6
