거래금액,전용면적,년,면적당금
"19,000",16.53,201801,1149.43
"50,800",84.87,201801,598.56
"50,800",84.97,201801,597.86
"30,000",59.58,201801,503.52
"55,900",113.67,201801,491.77
"48,900",80.54,201801,607.15
"58,500",132.96,201801,439.98
"32,400",59.58,201801,543.81
"36,000",59.58,201801,604.23
"49,000",113.67,201801,431.07
"57,000",84.8,201801,672.17
"48,500",59.84,201801,810.49
"53,200",84.97,201801,626.1
"49,500",80.54,201801,614.6
"34,500",59.58,201801,579.05
"37,400",84.68,201801,441.66
"37,800",84.95,201801,444.97
"39,500",84.95,201801,464.98
"45,200",84.87,201801,532.58
"52,000",132.96,201801,391.1
"41,000",68.13,201801,601.79
"52,300",132.96,201801,393.35
"45,000",84.74,201801,531.04
"53,500",84.97,201801,629.63
"44,500",132.96,201801,334.69
"50,000",81.82,201801,611.1
"42,300",59.99,201801,705.12
"47,500",84.87,201801,559.68
"46,800",84.59,201801,553.26
"51,500",152.25,201801,338.26
"61,800",132.96,201801,464.8
"33,700",59.58,201801,565.63
"48,300",80.54,201801,599.7
"64,000",132.96,201801,481.35
"44,200",84.723,201801,521.7
"55,500",132.96,201801,417.42
"56,000",132.96,201801,421.18
"54,000",84.97,201801,635.52
"50,000",59.84,201801,835.56
"44,700",59.5,201801,751.26
"60,000",114.89,201801,522.24
"46,700",84.98,201801,549.54
"35,200",59.79,201801,588.73
"57,500",132.96,201801,432.46
"35,000",59.4,201801,589.23
"45,000",84.92,201801,529.91
"57,000",84.8,201801,672.17
"44,800",84.87,201801,527.87
"43,400",84.87,201801,511.37
"44,500",84.87,201801,524.33
"65,000",132.96,201801,488.87
"44,000",84.59,201801,520.16
"55,200",132.96,201801,415.16
"47,600",84.98,201801,560.13
"53,800",117.16,201801,459.2
"47,000",80.54,201801,583.56
"50,000",80.54,201801,620.81
"52,000",113.67,201801,457.46
"38,700",84.8,201801,456.37
"48,000",59.5,201801,806.72
"48,000",84.87,201801,565.57
"65,000",132.43,201801,490.83
"53,000",113.67,201801,466.26
"36,200",59.4,201801,609.43
"34,000",59.58,201801,570.66
"33,000",59.58,201801,553.88
"54,000",113.67,201801,475.06
"35,700",59.79,201801,597.09
"56,500",84.8,201801,666.27
"46,900",59.99,201801,781.8
"45,000",59.99,201801,750.13
"54,700",84.97,201801,643.76
"52,000",81.82,201801,635.54
"53,500",113.67,201801,470.66
"40,000",68.13,201801,587.11
"35,800",59.79,201801,598.76
"43,000",59.38,201801,724.15
"53,000",117.16,201801,452.37
"45,000",114.66,201801,392.46
"43,500",59.99,201801,725.12
"34,000",59.58,201801,570.66
"40,500",68.13,201801,594.45
"33,500",59.58,201801,562.27
"40,500",68.13,201801,594.45
"38,500",68.13,201801,565.1
"59,500",132.96,201801,447.5
"43,000",84.95,201801,506.18
"46,300",84.87,201801,545.54
"34,000",59.58,201801,570.66
"55,000",111.55,201801,493.05
"55,300",84.958,201801,650.91
"65,000",125.043,201801,519.82
"65,500",125.043,201801,523.82
"18,500",14.01,201801,1320.49
"56,500",84.95,201801,665.1
"54,500",84.95,201801,641.55
"50,800",84.83,201801,598.84
"55,800",114.65,201801,486.7
