거래금액,전용면적,년,면적당금
"77,000",99.22,202001,776.05
"20,200",24,202001,841.67
"39,500",41.95,202001,941.6
"148,800",59.82,202001,2487.46
"85,000",62.26,202001,1365.24
"20,400",23.9,202001,853.56
"56,000",33.48,202001,1672.64
"74,950",76.52,202001,979.48
"20,500",23.9,202001,857.74
"157,500",59.4,202001,2651.52
"208,000",84.9097,202001,2449.66
"45,000",42.69,202001,1054.11
"270,000",130.156,202001,2074.43
"125,000",115.4,202001,1083.19
"55,000",122.45,202001,449.16
"65,000",57.98,202001,1121.08
"58,000",67.08,202001,864.64
"35,800",39.2,202001,913.27
"32,000",30.03,202001,1065.6
"55,500",63.03,202001,880.53
"124,500",49.86,202001,2496.99
"285,000",94.29,202001,3022.59
"203,000",134.3,202001,1511.54
"220,000",133.46,202001,1648.43
"103,000",39.53,202001,2605.62
"146,000",60,202001,2433.33
"171,000",60.76,202001,2814.35
"111,000",39.53,202001,2807.99
"180,000",60.13,202001,2993.51
"188,000",59.897,202001,3138.72
"107,000",39.53,202001,2706.8
"100,500",39.53,202001,2542.37
"60,000",35.905,202001,1671.08
"195,000",113.57,202001,1717
"176,000",49.618,202001,3547.1
"22,000",14.224,202001,1546.68
"143,000",102.69,202001,1392.54
"144,000",84.88,202001,1696.51
"21,600",13.425,202001,1608.94
"167,000",114.97,202001,1452.55
"176,000",49.619,202001,3547.03
"23,000",13.425,202001,1713.22
"224,500",84.679,202001,2651.19
"124,500",38.671,202001,3219.47
"145,000",59.67,202001,2430.03
"148,000",83.69,202001,1768.43
"161,000",174.1,202001,924.76
"295,000",170.8,202001,1727.17
"145,000",114.26,202001,1269.04
"245,000",125.8,202001,1947.54
"247,000",139.54,202001,1770.1
"300,000",114.97,202001,2609.38
"340,000",94.5,202001,3597.88
"84,000",79.07,202001,1062.35
"24,500",25.42,202001,963.81
"375,000",145.83,202001,2571.49
"247,000",84.95,202001,2907.59
"165,000",84.27,202001,1957.99
"220,000",84.43,202001,2605.71
"252,500",84.93,202001,2973.04
"300,000",127.75,202001,2348.34
"208,000",84.69,202001,2456.02
"34,000",29.02,202001,1171.61
"370,000",145.83,202001,2537.2
"88,000",90.35,202001,973.99
"164,000",138.7,202001,1182.41
"137,000",84.89,202001,1613.85
"39,000",73.22,202001,532.64
"88,000",84.98,202001,1035.54
"145,000",84.89,202001,1708.09
"85,000",131.99,202001,643.99
"80,000",75.12,202001,1064.96
"110,000",85.12,202001,1292.29
"240,000",203.17,202001,1181.28
"144,000",84.52,202001,1703.74
"165,000",114.34,202001,1443.06
"150,000",120.21,202001,1247.82
"137,000",83.464,202001,1641.43
"80,000",35.73,202001,2239.01
"21,200",16.2,202001,1308.64
"210,000",74.4,202001,2822.58
"299,000",131.49,202001,2273.94
"270,000",118.63,202001,2275.98
"213,000",78.05,202001,2729.02
"280,000",108.88,202001,2571.64
"470,000",196.21,202001,2395.39
"106,500",74.74,202001,1424.94
"124,000",74.74,202001,1659.08
"125,000",114.69,202001,1089.89
"108,500",59.89,202001,1811.65
"107,000",59.89,202001,1786.61
"146,000",91.96,202001,1587.65
"130,000",101.96,202001,1275.01
"120,000",59.76,202001,2008.03
"162,000",84.93,202001,1907.45
"159,500",84.93,202001,1878.02
"129,500",59.76,202001,2167
"250,000",101.97,202001,2451.7
"185,000",134.71,202001,1373.32
"87,000",39.6,202001,2196.97
"102,000",39.53,202001,2580.32
"88,000",33.18,202001,2652.2
"109,000",49.96,202001,2181.75
"79,500",34.44,202001,2308.36
"85,000",39.6,202001,2146.46
"84,000",39.6,202001,2121.21
"100,000",39.51,202001,2531
"120,000",60,202001,2000
"89,900",39.6,202001,2270.2
"139,000",84.48,202001,1645.36
"119,000",60,202001,1983.33
"170,000",132.94,202001,1278.77
"200,000",164.87,202001,1213.08
"130,000",70.89,202001,1833.83
"310,000",164.99,202001,1878.9
"232,000",115.63,202001,2006.4
"310,000",164.99,202001,1878.9
"148,000",73.41,202001,2016.07
"146,000",70.89,202001,2059.53
"225,000",130.259,202001,1727.33
"174,000",132.94,202001,1308.86
"95,000",113.18,202001,839.37
"192,000",84.89,202001,2261.75
"195,000",244.59,202001,797.25
"270,000",141.381,202001,1909.73
"545,000",273.68,202001,1991.38
"230,000",177.255,202001,1297.57
"164,800",59.9772,202001,2747.71
"168,500",122.07,202001,1380.36
"237,000",172.464,202001,1374.2
"149,500",70.89,202001,2108.9
"149,000",84.688,202002,1759.4
"167,000",59.606,202002,2801.73
"70,000",71.78,202002,975.2
"36,000",39.2,202002,918.37
"171,000",59.8848,202002,2855.48
"72,000",81.85,202002,879.66
"179,000",59.947,202002,2985.97
"90,000",71.91,202002,1251.56
"32,500",30.03,202002,1082.25
"73,500",81.85,202002,897.98
"155,000",59.4,202002,2609.43
"165,000",59.606,202002,2768.18
"161,000",59.73,202002,2695.46
"157,000",59.8848,202002,2621.7
"146,000",59.73,202002,2444.33
"175,000",176.03,202002,994.15
"153,000",59.606,202002,2566.86
"165,800",59.4,202002,2791.25
"99,000",59.77,202002,1656.35
"72,000",59.81,202002,1203.81
"160,000",59.4,202002,2693.6
"31,900",34.41,202002,927.06
"163,000",59.606,202002,2734.62
"86,850",70.57,202002,1230.69
"21,500",16.78,202002,1281.29
"190,000",84.587,202002,2246.21
"89,500",84.68,202002,1056.92
"27,000",22.12,202002,1220.61
"240,000",120.37,202002,1993.85
"20,000",17.23,202002,1160.77
"206,000",84.9097,202002,2426.11
"20,000",14.92,202002,1340.48
"20,000",15.25,202002,1311.48
"22,400",23.85,202002,939.2
"100,000",84.18,202002,1187.93
"177,000",61.19,202002,2892.63
"154,500",53.46,202002,2890.01
"100,500",39.53,202002,2542.37
"192,000",42.55,202002,4512.34
"270,000",161,202002,1677.02
"199,947",84.9,202002,2355.09
"175,000",59.967,202002,2918.27
"215,000",161.07,202002,1334.82
"244,000",84.943,202002,2872.51
"240,000",58.08,202002,4132.23
"242,000",58.08,202002,4166.67
"213,000",50.64,202002,4206.16
"163,000",35.87,202002,4544.19
"197,000",96.98,202002,2031.35
"202,000",42.55,202002,4747.36
"315,000",58.08,202002,5423.55
"94,000",33.18,202002,2833.03
"123,000",51.12,202002,2406.1
"170,000",35.64,202002,4769.92
"198,000",83.17,202002,2380.67
"167,700",60.13,202002,2788.96
"96,500",33.18,202002,2908.38
"260,000",50.64,202002,5134.28
"123,500",49.86,202002,2476.94
"243,000",84.943,202002,2860.74
"144,000",54.98,202002,2619.13
"126,750",51.12,202002,2479.46
"206,000",134.3,202002,1533.88
"218,000",50.38,202002,4327.11
"157,000",53.06,202002,2958.91
"125,000",49.86,202002,2507.02
"34,300",59.96,202002,572.05
"170,000",61.19,202002,2778.23
"200,000",109.53,202002,1825.98
"190,000",84.595,202002,2246
"290,000",180.67,202002,1605.14
"165,000",98.05,202002,1682.81
"133,000",59.93,202002,2219.26
"260,000",195.88,202002,1327.34
"22,700",12.449,202002,1823.44
"181,000",84.595,202002,2139.61
"180,000",133.97,202002,1343.58
"147,000",84.92,202002,1731.04
"237,000",109.53,202002,2163.79
"237,000",109.53,202002,2163.79
"138,000",59.95,202002,2301.92
"69,000",53.75,202002,1283.72
"40,500",36.16,202002,1120.02
"235,000",84.236,202002,2789.78
"146,000",59.67,202002,2446.79
"146,000",93.78,202002,1556.84
"173,000",153.53,202002,1126.82
"32,500",36.16,202002,898.78
"37,500",36.35,202002,1031.64
"146,500",59.67,202002,2455.17
"240,000",84.236,202002,2849.14
"180,000",84.87,202002,2120.89
"144,000",59.94,202002,2402.4
"37,000",36.47,202002,1014.53
"570,000",195.388,202002,2917.27
"187,000",91.77,202002,2037.7
"235,000",96.32,202002,2439.78
"130,000",58.57,202002,2219.57
"150,000",70.05,202002,2141.33
"148,000",114.26,202002,1295.29
"261,000",84.95,202002,3072.4
"230,000",160.53,202002,1432.75
"205,000",83.56,202002,2453.33
"36,000",33.11,202002,1087.28
"192,000",76.79,202002,2500.33
"303,000",128.01,202002,2367
"205,000",84.43,202002,2428.05
"194,000",76.79,202002,2526.37
"218,000",84.48,202002,2580.49
"207,000",84.43,202002,2451.74
"232,000",97.35,202002,2383.15
"218,000",84.43,202002,2582.02
"210,000",84.43,202002,2487.27
"214,000",84.43,202002,2534.64
"207,000",84.43,202002,2451.74
"220,000",84.48,202002,2604.17
"220,000",84.96,202002,2589.45
"36,000",35.236,202002,1021.68
"160,000",163.8,202002,976.8
"223,000",84.96,202002,2624.76
"217,500",84.43,202002,2576.1
"230,000",110.39,202002,2083.52
"247,500",84.69,202002,2922.42
"26,000",28.34,202002,917.43
"193,000",76.79,202002,2513.35
"218,000",84.43,202002,2582.02
"230,000",115.59,202002,1989.79
"227,000",115.59,202002,1963.84
"305,000",119.58,202002,2550.59
"194,500",76.79,202002,2532.88
"285,700",126.33,202002,2261.54
"59,900",65.24,202002,918.15
"216,000",84.96,202002,2542.37
"298,000",128.01,202002,2327.94
"251,000",128.03,202002,1960.48
"234,000",97.35,202002,2403.7
"215,000",84.43,202002,2546.49
"98,000",84.36,202002,1161.69
"149,000",84.89,202002,1755.21
"60,000",55.273,202002,1085.52
"120,000",90.94,202002,1319.55
"80,000",35.73,202002,2239.01
"165,000",84.92,202002,1943.01
"21,500",16.2,202002,1327.16
"89,900",59.91,202002,1500.58
"22,000",16.2,202002,1358.02
"96,800",90.38,202002,1071.03
"228,000",113.231,202002,2013.58
"21,000",16.2,202002,1296.3
"172,000",114.34,202002,1504.29
"22,000",16.2,202002,1358.02
"119,750",139.46,202002,858.67
"91,000",59.91,202002,1518.95
"210,000",82.5,202002,2545.45
"223,000",82.5,202002,2703.03
"264,000",108.47,202002,2433.85
"236,000",107.64,202002,2192.49
"253,000",118.63,202002,2132.68
"200,000",63.87,202002,3131.36
"195,000",74.4,202002,2620.97
"350,000",181.81,202002,1925.09
"280,000",122.27,202002,2290.01
"260,000",115.24,202002,2256.16
"109,000",59.89,202002,1820
"108,000",59.99,202002,1800.3
"132,500",84.83,202002,1561.95
"133,000",84.83,202002,1567.84
"109,500",59.89,202002,1828.35
"108,200",59.89,202002,1806.65
"104,000",59.99,202002,1733.62
"105,000",59.86,202002,1754.09
"105,000",84.97,202002,1235.73
"109,200",59.89,202002,1823.34
"160,000",101.94,202002,1569.55
"165,000",114.46,202002,1441.55
"141,000",84.99,202002,1659.02
"144,500",91.96,202002,1571.34
"120,000",59.97,202002,2001
"212,000",71.65,202002,2958.83
"168,000",75.16,202002,2235.23
"160,000",84.73,202002,1888.35
"175,000",101.97,202002,1716.19
"160,000",84.93,202002,1883.9
"200,000",134.71,202002,1484.67
"185,000",99.79,202002,1853.89
"86,000",39.98,202002,2151.08
"182,000",99.79,202002,1823.83
"220,000",134.71,202002,1633.14
"151,000",84.92,202002,1778.14
"99,800",49.5,202002,2016.16
"76,000",34.44,202002,2206.74
"86,000",33.18,202002,2591.92
"84,000",39.6,202002,2121.21
"115,500",60,202002,1925
"86,000",39.6,202002,2171.72
"85,000",39.6,202002,2146.46
"83,000",39.6,202002,2095.96
"75,700",34.44,202002,2198.03
"162,500",129.45,202002,1255.31
"77,000",34.44,202002,2235.77
"89,800",39.6,202002,2267.68
"181,500",163.68,202002,1108.87
"79,000",34.44,202002,2293.84
"87,000",39.6,202002,2196.97
"84,900",33.18,202002,2558.77
"85,500",33.18,202002,2576.85
"89,800",33.18,202002,2706.45
"101,000",39.53,202002,2555.02
"154,000",84.97,202002,1812.4
"26,600",25.89,202002,1027.42
"263,000",119.8906,202002,2193.67
"185,000",59.9818,202002,3084.27
"258,500",164.99,202002,1566.76
"215,000",124.641,202002,1724.95
"219,000",172.467,202002,1269.81
"241,000",114.9931,202002,2095.78
"95,000",103.23,202002,920.28
"230,000",84.9984,202002,2705.93
"172,500",84.9569,202002,2030.44
"132,000",59.76,202002,2208.84
"129,000",112.75,202002,1144.12
"230,000",84.9984,202002,2705.93
"230,500",84.9984,202002,2711.82
"265,000",164.97,202002,1606.35
"320,000",134.9023,202002,2372.09
"295,000",164.99,202002,1787.99
"157,000",59.96,202002,2618.41
"231,000",84.9984,202002,2717.7
"168,000",107.11,202002,1568.48
"162,000",59.9937,202002,2700.28
"230,000",84.9984,202002,2705.93
"160,000",59.9772,202002,2667.68
"220,000",71.85,202002,3061.93
"214,500",164.97,202002,1300.24
"37,000",33.1,202002,1117.82
"240,000",200.9,202002,1194.62
"164,000",59.9937,202002,2733.62
"230,000",84.9984,202002,2705.93
"170,000",130.545,202002,1302.23
"166,000",107.11,202002,1549.81
"194,500",112.13,202002,1734.59
"190,000",59.98,202002,3167.72
"249,000",121.54,202003,2048.71
"21,000",17.684,202003,1187.51
"167,000",59.8848,202003,2788.69
"83,000",129.72,202003,639.84
"243,000",92.6232,202003,2623.53
"125,000",81.76,202003,1528.86
"52,000",59.77,202003,870
"39,000",52.27,202003,746.13
"32,800",26.68,202003,1229.39
"221,000",92.6232,202003,2386.01
"205,000",84.991,202003,2412.02
"34,000",30.03,202003,1132.2
"156,000",59.4,202003,2626.26
"162,000",59.606,202003,2717.85
"226,000",58.08,202003,3891.18
"124,000",49.86,202003,2486.96
"309,500",56.57,202003,5471.1
"123,500",49.86,202003,2476.94
"203,000",41.98,202003,4835.64
"158,500",53.06,202003,2987.18
"247,000",149.21,202003,1655.39
"263,000",84.94,202003,3096.3
"228,000",76.17,202003,2993.3
"200,000",83.21,202003,2403.56
"215,000",56.57,202003,3800.6
"91,000",33.18,202003,2742.62
"264,000",50.38,202003,5240.17
"62,000",84.16,202003,736.69
"102,250",39.53,202003,2586.64
"138,000",60,202003,2300
"167,500",73.02,202003,2293.89
"235,000",49.56,202003,4741.73
"85,000",33.18,202003,2561.78
"194,000",50.64,202003,3830.96
"190,000",50.64,202003,3751.97
"185,000",125.64,202003,1472.46
"148,000",102.69,202003,1441.23
"239,000",82.952,202003,2881.18
"190,000",84.595,202003,2246
"24,500",13.425,202003,1824.95
"59,300",35.905,202003,1651.58
"190,000",114.83,202003,1654.62
"520,000",197.73,202003,2629.85
"220,000",172.98,202003,1271.82
"187,000",117.42,202003,1592.57
"165,000",84.88,202003,1943.92
"98,000",84.32,202003,1162.24
"34,000",36.16,202003,940.27
"292,000",206.1,202003,1416.79
"149,900",59.7,202003,2510.89
"427,000",156.857,202003,2722.22
"141,000",59.67,202003,2363
"35,000",36.566,202003,957.17
"325,000",121.74,202003,2669.62
"325,000",121.74,202003,2669.62
"195,000",76.79,202003,2539.39
"259,600",84.35,202003,3077.65
"295,000",127.78,202003,2308.66
"33,500",33.06,202003,1013.31
"33,500",33.06,202003,1013.31
"220,000",97.35,202003,2259.89
"340,000",127.78,202003,2660.82
"320,000",136.68,202003,2341.24
"193,300",76.79,202003,2517.25
"138,000",84.85,202003,1626.4
"305,000",127.78,202003,2386.92
"319,000",145.83,202003,2187.48
"71,500",78.51,202003,910.71
"165,000",113.31,202003,1456.18
"85,000",103.44,202003,821.73
"79,000",80.83,202003,977.36
"119,000",84.96,202003,1400.66
"58,000",68.86,202003,842.29
"118,000",134.28,202003,878.76
"39,000",36.29,202003,1074.68
"150,000",84.993,202003,1764.85
"150,000",84.993,202003,1764.85
"74,000",84.87,202003,871.92
"37,750",36.29,202003,1040.23
"60,000",125.73,202003,477.21
"209,000",74.4,202003,2809.14
"195,000",74.4,202003,2620.97
