거래금액,전용면적,년,면적 당 금액
"49,000",41.3,202102,1186.44
"74,800",84.9909,202102,880.09
"59,800",49.94,202102,1197.44
"43,000",59.94,202102,717.38
"60,000",49.94,202102,1201.44
"48,500",59.82,202102,810.77
"42,000",112.29,202102,374.03
"47,400",59.82,202102,792.38
"55,000",59.77,202102,920.19
"60,000",49.94,202102,1201.44
"60,000",49.94,202102,1201.44
"73,000",79.07,202102,923.23
"68,000",117.2775,202102,579.82
"50,000",58.65,202102,852.51
"72,000",84.79,202102,849.16
"50,500",49.94,202102,1011.21
"61,500",49.94,202102,1231.48
"63,000",76.51,202102,823.42
"48,000",59.43,202102,807.67
"59,000",49.94,202102,1181.42
"58,900",84.96,202102,693.27
"43,000",44.89,202102,957.9
"59,400",84.67,202102,701.55
"45,000",59.43,202102,757.19
"67,500",117.2775,202102,575.56
"37,500",54.15,202102,692.52
"24,900",54.66,202102,455.54
"32,500",50.16,202102,647.93
"29,900",43.04,202102,694.7
"58,450",84.99,202102,687.73
"17,000",36.33,202102,467.93
"55,000",63.78,202102,862.34
"42,500",56.01,202102,758.79
"26,200",65.82,202102,398.06
"58,450",84.99,202102,687.73
"38,500",84.97,202102,453.1
"85,200",114.78,202102,742.29
"40,500",66.28,202102,611.04
"40,500",66.28,202102,611.04
"55,000",84.92,202102,647.67
"55,700",84.99,202102,655.37
"14,200",19,202102,747.37
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"17,200",29.47,202102,583.64
"56,600",84.99,202102,665.96
"50,500",63.78,202102,791.78
"78,500",122.58,202102,640.4
"80,000",122.58,202102,652.64
"64,800",84.93,202102,762.98
"49,000",84.98,202102,576.61
"68,600",59.98,202103,1143.71
"14,450",18.6479,202103,774.89
"87,800",114.85,202103,764.48
"83,500",84.97,202103,982.7
"85,000",59.96,202103,1417.61
"73,000",84.86,202103,860.24
"73,000",84.873,202103,860.11
"74,800",84.552,202103,884.66
"73,500",59.68,202103,1231.57
"60,500",59.67,202103,1013.91
"85,300",58.99,202103,1446.01
"60,000",59.67,202103,1005.53
"79,500",84.92,202103,936.18
"88,000",59.36,202103,1482.48
"75,000",84.76,202103,884.85
"94,200",114.85,202103,820.2
"72,000",84.705,202103,850.01
"71,500",59.758,202103,1196.49
"74,900",84.76,202103,883.67
"68,500",59.98,202103,1142.05
"67,500",59.98,202103,1125.38
"69,500",148.54,202103,467.89
"87,100",84.97,202103,1025.07
"68,000",59.98,202103,1133.71
"85,600",59.99,202103,1426.9
"89,500",84.97,202103,1053.31
"64,800",59.98,202103,1080.36
"76,500",84.76,202103,902.55
"100,000",84.67,202103,1181.06
"75,000",84.705,202103,885.43
"73,800",84.76,202103,870.69
"77,500",84.705,202103,914.94
"102,000",84.36,202103,1209.1
"79,000",59.54,202103,1326.84
"90,900",114.88,202103,791.26
"90,500",114.88,202103,787.78
"69,000",59.758,202103,1154.66
"76,700",84.705,202103,905.5
"84,500",59.36,202103,1423.52
"85,500",84.99,202103,1006
"88,500",59.97,202103,1475.74
"74,000",84.89,202103,871.72
"61,500",59.758,202103,1029.15
"66,900",59.98,202103,1115.37
"79,500",84.92,202103,936.18
"85,500",84.97,202103,1006.24
"63,500",84.93,202103,747.67
"60,000",84.6,202103,709.22
"48,000",59.9,202103,801.34
"63,900",84.97,202103,752.03
"58,700",84.67,202103,693.28
"46,000",41.3,202103,1113.8
"54,500",126.67,202103,430.25
"48,700",41.3,202103,1179.18
"50,000",59.43,202103,841.33
"59,400",84.67,202103,701.55
"68,500",71.89,202103,952.84
"43,850",44.89,202103,976.83
"60,000",49.94,202103,1201.44
"50,500",49.94,202103,1011.21
"47,000",41.3,202103,1138.01
"47,000",41.3,202103,1138.01
"49,000",41.3,202103,1186.44
"59,000",49.94,202103,1181.42
"40,000",59.94,202103,667.33
"61,000",49.94,202103,1221.47
"74,300",84.88,202103,875.35
"50,000",41.3,202103,1210.65
"50,000",59.43,202103,841.33
"70,000",84.7848,202103,825.62
"60,500",84.83,202103,713.19
"69,500",84.59,202103,821.61
"69,500",84.59,202103,821.61
"69,500",84.59,202103,821.61
"69,500",84.59,202103,821.61
"59,500",63.78,202103,932.89
"62,700",63.78,202103,983.07
"76,000",114.24,202103,665.27
"29,000",46.61,202103,622.18
"10,400",12.01,202103,865.95
"10,400",12.02,202103,865.22
"10,900",12.33,202103,884.02
"63,700",100.385,202103,634.56
"49,000",84.98,202103,576.61
"25,000",66.73,202103,374.64
"75,000",84.552,202104,887.03
"90,000",59.818,202104,1504.56
"73,500",59.6,202104,1233.22
"100,000",84.97,202104,1176.89
"89,000",129.784,202104,685.75
"85,000",84.873,202104,1001.5
"62,750",59.98,202104,1046.18
"54,000",81.02,202104,666.5
"82,800",84.76,202104,976.88
"84,400",59.6,202104,1416.11
"62,500",60,202104,1041.67
"78,500",84.705,202104,926.75
"99,000",84.18,202104,1176.05
"74,000",84.552,202104,875.2
"78,000",84.705,202104,920.84
"87,250",114.85,202104,759.69
"74,000",84.92,202104,871.41
"50,000",68.675,202104,728.07
"67,500",59.758,202104,1129.56
"62,800",60,202104,1046.67
"68,500",59.98,202104,1142.05
"83,500",59.36,202104,1406.67
"61,500",60,202104,1025
"76,500",84.86,202104,901.48
"66,000",59.98,202104,1100.37
"90,000",84.97,202104,1059.2
"62,400",59.67,202104,1045.75
"68,500",59.98,202104,1142.05
"80,000",84.705,202104,944.45
"65,100",59.67,202104,1091
"84,000",114.68,202104,732.47
"40,000",59.96,202104,667.11
"49,500",59.82,202104,827.48
"59,000",84.6,202104,697.4
"71,000",79.07,202104,897.94
"51,000",59.96,202104,850.57
"56,000",59.98,202104,933.64
"43,800",41.3,202104,1060.53
"46,000",41.3,202104,1113.8
"74,000",127.25,202104,581.53
"48,500",59.96,202104,808.87
"40,000",59.94,202104,667.33
"63,000",49.94,202104,1261.51
"70,000",84.93,202104,824.21
"72,300",84.88,202104,851.79
"50,900",41.3,202104,1232.45
"65,500",84.93,202104,771.22
"50,000",41.3,202104,1210.65
"52,600",84.9,202104,619.55
"53,500",59.77,202104,895.1
"79,000",127.25,202104,620.83
"61,000",49.94,202104,1221.47
"41,200",59.67,202104,690.46
"23,500",56.85,202104,413.37
"29,500",65.99,202104,447.04
"30,000",59.54,202104,503.86
"54,500",63.78,202104,854.5
"71,300",84.95,202104,839.32
"78,500",122.58,202104,640.4
"9,047",12.02,202104,752.66
"8,881",12.01,202104,739.47
"82,000",122.58,202104,668.95
"44,613",64.5,202104,691.67
"50,500",84.98,202104,594.26
"89,000",114.88,202105,774.72
"66,250",59.98,202105,1104.53
"67,000",59.98,202105,1117.04
"80,000",84.76,202105,943.84
"97,000",84.97,202105,1141.58
"75,000",84.705,202105,885.43
"94,500",114.85,202105,822.81
"91,000",84.97,202105,1070.97
"86,800",84.99,202105,1021.3
"105,000",84.29,202105,1245.7
"77,500",114.68,202105,675.79
"82,500",114.68,202105,719.39
"60,000",60,202105,1000
"107,500",84.98,202105,1265
"90,000",84.97,202105,1059.2
"100,500",84.97,202105,1182.77
"89,700",84.97,202105,1055.67
"66,800",59.98,202105,1113.7
"87,900",84.99,202105,1034.24
"81,000",84.92,202105,953.84
"38,900",47.82,202105,813.47
"73,000",59.964,202105,1217.4
"75,900",84.705,202105,896.05
"68,000",59.98,202105,1133.71
"117,500",114.88,202105,1022.81
"99,000",84.18,202105,1176.05
"74,900",84.705,202105,884.25
"68,800",59.98,202105,1147.05
"65,000",59.98,202105,1083.69
"80,500",84.92,202105,947.95
"79,000",84.76,202105,932.04
"118,000",113.89,202105,1036.09
"67,000",59.98,202105,1117.04
"68,000",59.98,202105,1133.71
"75,000",84.76,202105,884.85
"101,000",84.97,202105,1188.65
"70,500",84.9898,202105,829.51
"73,900",84.552,202105,874.02
"77,500",84.705,202105,914.94
"66,500",59.98,202105,1108.7
"102,500",84.67,202105,1210.58
"97,000",114.88,202105,844.36
"78,000",84.76,202105,920.25
"90,000",59.99,202105,1500.25
"79,500",84.76,202105,937.94
"108,500",84.15,202105,1289.36
"90,500",114.85,202105,787.98
"57,000",59.67,202105,955.25
"67,700",59.98,202105,1128.71
"73,400",84.552,202105,868.1
"67,000",59.98,202105,1117.04
"84,000",59.96,202105,1400.93
"82,700",59.36,202105,1393.19
"48,000",41.3,202105,1162.23
"62,500",84.97,202105,735.55
"65,000",84.67,202105,767.69
"51,000",41.3,202105,1234.87
"77,700",79.07,202105,982.67
"54,000",84.9,202105,636.04
"52,000",49.94,202105,1041.25
"48,500",41.3,202105,1174.33
"78,500",84.9909,202105,923.63
"54,500",59.77,202105,911.83
"50,500",41.3,202105,1222.76
"55,000",59.77,202105,920.19
"52,800",41.3,202105,1278.45
"57,300",84.6,202105,677.3
"65,000",76.51,202105,849.56
"56,000",59.98,202105,933.64
"48,000",84.9,202105,565.37
"55,000",59.64,202105,922.2
"65,000",49.94,202105,1301.56
"26,500",26.52,202105,999.25
"10,900",12.19,202105,894.18
"22,800",36.65,202105,622.1
"58,000",84.99,202105,682.43
"49,100",114.42,202105,429.12
"71,300",84.95,202105,839.32
"52,700",71.3,202105,739.13
"32,900",71.77,202105,458.41
"26,100",49.37,202105,528.66
"59,300",59.88,202105,990.31
"74,000",84.92,202105,871.41
"10,500",58.51,202105,179.46
"15,000",14.73,202105,1018.33
"56,500",59.94,202105,942.61
"51,000",84.98,202105,600.14
"92,500",114.85,202106,805.4
"13,800",18.6479,202106,740.03
"99,900",84.98,202106,1175.57
"68,500",59.98,202106,1142.05
"79,700",84.76,202106,940.3
"74,500",84.71,202106,879.47
"68,000",59.98,202106,1133.71
"67,400",59.98,202106,1123.71
"89,000",59.96,202106,1484.32
"70,600",59.98,202106,1177.06
"51,500",59.27,202106,868.91
"79,000",84.86,202106,930.95
"80,000",84.92,202106,942.06
"98,000",84.97,202106,1153.35
"94,000",114.922,202106,817.95
"70,000",59.98,202106,1167.06
"14,500",18.6479,202106,777.57
"65,000",59.98,202106,1083.69
"69,500",59.98,202106,1158.72
"67,000",59.98,202106,1117.04
"66,700",59.98,202106,1112.04
"68,980",59.98,202106,1150.05
"69,000",59.98,202106,1150.38
"10,500",18.6479,202106,563.07
"78,000",84.705,202106,920.84
"95,900",114.85,202106,835
"97,500",84.97,202106,1147.46
"120,500",114.88,202106,1048.92
"85,000",84.58,202106,1004.97
"89,000",129.784,202106,685.75
"80,500",84.76,202106,949.74
"67,700",59.98,202106,1128.71
"68,800",59.98,202106,1147.05
"65,000",59.98,202106,1083.69
"67,000",59.98,202106,1117.04
"110,800",84.67,202106,1308.61
"78,000",84.705,202106,920.84
"79,000",84.92,202106,930.29
"66,900",59.98,202106,1115.37
"66,500",59.98,202106,1108.7
"82,000",84.76,202106,967.44
"66,700",60,202106,1111.67
"83,500",84.71,202106,985.72
"95,500",84.97,202106,1123.93
"67,500",59.98,202106,1125.38
"87,500",59.96,202106,1459.31
"79,800",84.705,202106,942.09
"67,000",59.98,202106,1117.04
"57,000",59.4,202106,959.6
"56,000",59.4,202106,942.76
"56,700",59.27,202106,956.64
"75,000",84.86,202106,883.81
"79,750",59.54,202106,1339.44
"79,800",59.99,202106,1330.22
"54,500",68.675,202106,793.59
"87,700",114.85,202106,763.6
"66,000",59.98,202106,1100.37
"115,000",114.88,202106,1001.04
"55,000",59.4,202106,925.93
"80,000",84.705,202106,944.45
"50,800",59.96,202106,847.23
"47,000",41.3,202106,1138.01
"54,000",59.94,202106,900.9
"72,500",84.88,202106,854.15
"59,800",84.6,202106,706.86
"67,000",84.96,202106,788.61
"54,000",84.9,202106,636.04
"46,700",44.89,202106,1040.32
"49,700",59.91,202106,829.58
"75,000",84.88,202106,883.6
"79,000",84.9909,202106,929.51
"79,000",84.9909,202106,929.51
"53,000",41.3,202106,1283.29
"48,000",59.94,202106,800.8
"57,000",49.94,202106,1141.37
"59,000",59.77,202106,987.12
"85,000",127.25,202106,667.98
"60,000",59.77,202106,1003.85
"75,000",84.88,202106,883.6
"55,500",44.89,202106,1236.36
