거래금액,전용면적,년,면적당금
"52,800",84.86,202001,622.2
"44,700",84.96,202001,526.13
"56,000",59.38,202001,943.08
"50,000",59.964,202001,833.83
"54,500",114.68,202001,475.24
"55,000",84.86,202001,648.13
"52,850",84.92,202001,622.35
"48,800",84.76,202001,575.74
"45,800",84.89,202001,539.52
"36,000",59.67,202001,603.32
"57,500",114.85,202001,500.65
"61,500",114.85,202001,535.48
"72,000",59.99,202001,1200.2
"54,700",59.54,202001,918.71
"59,000",59.38,202001,993.6
"74,500",84.15,202001,885.32
"52,900",84.705,202001,624.52
"37,000",50.12,202001,738.23
"45,000",59.98,202001,750.25
"45,500",59.98,202001,758.59
"45,000",59.98,202001,750.25
"51,500",84.92,202001,606.45
"47,800",84.89,202001,563.08
"56,300",59.99,202001,938.49
"58,000",84.873,202001,683.37
"36,000",84.9,202001,424.03
"15,100",18.6479,202001,809.74
"48,500",84.89,202001,571.33
"58,000",84.76,202001,684.29
"52,500",84.86,202001,618.67
"50,000",84.86,202001,589.21
"67,300",84.99,202001,791.86
"62,500",114.88,202001,544.05
"47,000",59.758,202001,786.51
"51,900",84.86,202001,611.6
"62,000",114.85,202001,539.83
"77,000",84.93,202001,906.63
"65,000",59.96,202001,1084.06
"47,700",84.89,202001,561.9
"48,000",84.89,202001,565.44
"44,900",59.98,202001,748.58
"63,000",114.85,202001,548.54
"66,800",84.97,202001,786.16
"63,000",59.96,202001,1050.7
"63,800",114.922,202001,555.16
"50,000",59.964,202001,833.83
"60,000",114.922,202001,522.09
"56,300",114.88,202001,490.08
"39,800",60,202001,663.33
"47,000",59.98,202001,783.59
"60,000",114.85,202001,522.42
"45,000",59.98,202001,750.25
"75,800",84.15,202001,900.77
"77,700",84.93,202001,914.87
"59,500",114.88,202001,517.93
"37,800",59.67,202001,633.48
"62,000",114.85,202001,539.83
"44,800",59.98,202001,746.92
"60,000",114.85,202001,522.42
"63,500",84.99,202001,747.15
"79,900",84.15,202001,949.49
"56,900",59.33,202001,959.04
"41,000",60,202001,683.33
"39,000",59.67,202001,653.59
"41,500",59.98,202001,691.9
"41,750",59.98,202001,696.07
"45,000",59.98,202001,750.25
"56,800",84.71,202001,670.52
"54,000",84.92,202001,635.89
"52,750",84.71,202001,622.71
"57,500",59.68,202001,963.47
"58,900",59.6,202001,988.26
"44,000",83.72,202001,525.56
"60,000",84.873,202001,706.94
"53,500",84.705,202001,631.6
"37,700",59.67,202001,631.81
"41,600",60,202001,693.33
"56,400",84.76,202001,665.41
"53,500",84.71,202001,631.57
"60,000",114.85,202001,522.42
