거래금액,전용면적,년,,,,,,,,
"115,000",84.8,202101,,,,,,,,
"177,000",121.04,202101,,,,,,,,
"252,000",110.44,202101,,,,,,,,
"136,500",84.11,202101,,,,,,,,
"130,000",84.51,202101,,,,,,,,
"155,500",84.69,202101,,,,,,,,
"111,000",60.72,202101,,,,,,,,
"75,000",39.69,202101,,,,,,,,
"153,000",84.9648,202101,,,,,,,,
"260,000",158.705,202101,,,,,,,,
"79,000",59.94,202101,,,,,,,,
"256,000",158.705,202101,,,,,,,,
"144,500",120.97,202101,,,,,,,,
"172,000",84.705,202101,,,,,,,,
"140,000",84.39,202101,,,,,,,,
"180,000",84.751,202101,,,,,,,,
"50,500",25.65,202101,,,,,,,,
"48,000",25.65,202101,,,,,,,,
"61,000",35.46,202101,,,,,,,,
"89,500",59.91,202101,,,,,,,,
"253,000",158.705,202101,,,,,,,,
"59,000",35.46,202101,,,,,,,,
"79,000",39.69,202101,,,,,,,,
"76,000",39.69,202101,,,,,,,,
"61,200",35.46,202101,,,,,,,,
"187,000",84.751,202101,,,,,,,,
"138,000",84.86,202101,,,,,,,,
"160,000",84.9725,202101,,,,,,,,
"85,000",46.26,202101,,,,,,,,
"79,800",39.69,202101,,,,,,,,
"80,000",39.69,202101,,,,,,,,
"183,500",84.705,202101,,,,,,,,
"298,000",192.235,202101,,,,,,,,
"184,000",84.705,202101,,,,,,,,
"146,000",84.9072,202101,,,,,,,,
"157,500",84.9342,202101,,,,,,,,
"61,500",35.46,202101,,,,,,,,
"145,000",84.96,202101,,,,,,,,
"105,000",84.94,202101,,,,,,,,
"180,000",100.8522,202101,,,,,,,,
"174,500",108.1387,202101,,,,,,,,
"148,000",84.92,202101,,,,,,,,
"105,500",51.77,202101,,,,,,,,
"128,000",59.73,202101,,,,,,,,
"131,000",59.85,202101,,,,,,,,
"118,000",51.77,202101,,,,,,,,
"128,000",59.95,202101,,,,,,,,
"120,000",51.77,202101,,,,,,,,
"125,000",59.63,202101,,,,,,,,
"155,500",84.92,202101,,,,,,,,
"167,000",84.96,202101,,,,,,,,
"113,000",51.77,202101,,,,,,,,
"128,800",59.85,202101,,,,,,,,
"147,000",84.9,202101,,,,,,,,
"184,000",83.06,202101,,,,,,,,
"225,000",100.82,202101,,,,,,,,
"205,000",83.06,202101,,,,,,,,
"25,000",25.96,202101,,,,,,,,
"203,000",83.06,202101,,,,,,,,
"148,000",84.95,202101,,,,,,,,
"29,000",30.8,202101,,,,,,,,
"215,000",100.82,202101,,,,,,,,
"150,000",159.41,202101,,,,,,,,
"29,900",28.64,202101,,,,,,,,
"230,000",100.31,202101,,,,,,,,
"29,100",38.22,202101,,,,,,,,
"292,000",148.77,202101,,,,,,,,
"150,000",84.92,202101,,,,,,,,
"89,000",84.95,202101,,,,,,,,
"95,000",83.15,202101,,,,,,,,
"104,500",59.9823,202101,,,,,,,,
"144,000",143.82,202101,,,,,,,,
"165,000",125.79,202101,,,,,,,,
"85,000",45.77,202101,,,,,,,,
"155,000",84.98,202101,,,,,,,,
"125,000",78.59,202101,,,,,,,,
"210,000",170.32,202101,,,,,,,,
"216,000",170.32,202101,,,,,,,,
"58,500",31,202101,,,,,,,,
"104,000",59.9823,202101,,,,,,,,
"110,000",84.82,202101,,,,,,,,
"118,000",78.59,202101,,,,,,,,
"139,000",84.91,202101,,,,,,,,
